"usageclass","checkouttype","materialtype","checkoutyear","checkoutmonth","checkouts","title","creator","subjects","publisher","publicationyear"
"Physical","Horizon","BOOK","2020","1","2","Mamaste : discover a more authentic, balanced, and joyful Motherhood from within / Lori Bregman ; with Ursula Cary.","Bregman, Lori","Motherhood, Motherhood Religious aspects","Chronicle Books,","[2019]"
"Digital","OverDrive","AUDIOBOOK","2020","1","1","Leading Loyalty: Cracking the Code to Customer Devotion (unabridged) (Unabridged)","Sandy Rogers","Business, Nonfiction","HarperCollins Focus","2019"
"Digital","OverDrive","EBOOK","2020","1","2","Fat Tuesday","Sandra Brown","Fiction, Romance, Suspense, Thriller","Hachette Digital, Inc.","2013"
"Physical","Horizon","BOOK","2020","1","1","Monster school / by Kate Coombs ; pictures by Lee Gatlin.","Coombs, Kate","Monsters Juvenile poetry, School children Juvenile poetry, Schools Juvenile poetry","Chronicle Books,","2018."
"Digital","OverDrive","EBOOK","2020","1","2","The Upstarts: How Uber, Airbnb, and the Killer Companies of the New Silicon Valley Are Changing the World","Brad Stone","Business, Computer Technology, Nonfiction, Technology","Hachette Digital, Inc.","2017"
"Digital","OverDrive","EBOOK","2020","1","1","Ninja Cowboy Bear Presents the Call of the Cowboy","David Bruins","Juvenile Fiction, Juvenile Literature","Kids Can Press Ltd.","2012"
"Digital","OverDrive","EBOOK","2020","1","6","Delicious","Sherry Thomas","Fiction, Historical Fiction, Mythology, Romance","Random House, Inc.","2012"
"Physical","Horizon","BOOK","2020","1","4","Watching the watchmen / Dave Gibbons, Chip Kidd, Mike Essl ; photoraphy by Dan Scudamore.","Gibbons, Dave, 1949-","Moore Alan 1953 Watchmen","Titan,","2008."
"Digital","OverDrive","AUDIOBOOK","2020","1","6","The Keeper of Lost Causes: Department Q Series, Book 1 (unabridged) (Unabridged)","Jussi Adler-Olsen","Fiction, Mystery, Thriller","Books on Tape","2011"
"Physical","Horizon","SOUNDDISC","2020","1","1","Fade to black / Heather Graham.","Graham, Heather","Private investigators Fiction, Television actors and actresses Fiction, Murder Fiction, Audiobooks, Romance fiction, Paranormal fiction, Romantic suspense fiction","Harlequin Audio,","[2018]"
"Physical","Horizon","BOOK","2020","1","1","December 6 : a novel / Martin Cruz Smith..","Smith, Martin Cruz, 1942-","World War 1939 1945 Japan Tokyo Fiction, Pearl Harbor Hawaii Attack on 1941 Fiction, Americans Japan Fiction, Tokyo Japan Fiction, Historical fiction, War stories, Suspense fiction","Pocket Books,","2008."
"Physical","Horizon","SOUNDDISC","2020","1","2","In the mix / Bernard Allison Group.","Bernard Allison Group","Blues Music 2011 2020, Guitar music Blues","Jazzhaus Records,","[2015]"
